Generation,BestFitness
1,6.297398867015033
2,5.622917913716641
3,4.022326428331542
4,4.022326428331542
5,2.8599073343752863
6,3.1003364856529707
7,4.022578535628327
8,1.6939593408723468
9,1.538119371059885
10,1.282576940310225
11,1.282576940310225
12,1.2795007867614352
13,1.2012219505017683
14,1.1991246312989894
15,1.1288525029754801
16,1.1288525029754801
17,1.1286898485354513
18,1.1284397847091014
19,1.1284397847091014
20,1.1284397847091014
21,1.1284397847091014
22,1.1284397847091014
23,1.0086254177246374
24,1.0086254177246374
25,1.0086254177246374
26,0.5850227146418128
27,1.1284397847091014
28,1.1284397847091014
29,1.1284397847091014
30,1.1284397847091014
31,1.1284397847091014
32,1.1284397878771806
33,1.1284397879507218
34,1.1284397879632948
35,1.1284397879632948
36,1.1284397879632948
37,1.1284397879632948
38,1.1284397880170296
39,1.128439788040911
40,1.128439788040911
41,1.128439788040911
42,1.1284397880409571
43,1.1284397880409571
44,1.1284397880409571
45,1.1284397880409571
46,1.1284397880409571
47,1.1284397880409571
48,1.1284397880409571
49,0.633162164471635
50,1.1284397880409536
51,1.1284397880409536
52,1.1284397880409536
53,1.1284397880409536
54,1.1284397880409536
55,1.1284397880409536
56,1.0488950461839082
57,1.0006093253663906
58,0.9961924481745434
59,0.9950731793260275
60,0.9950731793260275
61,0.9950031006309459
62,0.9950031006309459
63,0.9950031006309459
64,0.9950030940077177
65,0.9950030922931496
66,0.995003092295363
67,0.9950030922930111
68,0.9950030922935191
69,0.9950030922935191
70,0.9950030922930111
71,0.9950030922930075
72,0.995003092293004
73,0.9950030922930004
74,0.9950030922930004
75,0.9950030922930004
76,0.9950030922930004
77,0.9950030922930004
78,0.9950030922930004
79,0.9950030922930004
80,0.18657381557464703
81,0.18657381557464703
82,0.18657381557464703
83,0.026983147610629032
84,0.026983147610629032
85,0.08598001227925778
86,0.09363153480386188
87,0.17929093261766837
88,0.17929093261766837
89,0.21509576799734376
90,0.21509576799734376
91,0.21509576799734376
92,0.21509576799734376
93,0.21509576799734376
94,0.21509576799734376
95,0.21509576799734376
96,0.21509576799734376
97,0.21410453589136935
98,0.00815352649512846
99,0.0005776183024259751
100,0.0005776183024259751
