Generation,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
1,5.880313944544538,5.880313944544538,5.880313944544538,5.880313944544538,5.880313944544538,5.880313944544538,5.880313944544538,5.880313944544538,5.880313944544538,5.880313944544538
2,5.880313944544538,5.880313944544538,5.880313944544538,5.880313944544538,5.880313944544538,5.880313944544538,5.880313944544538,5.880313944544538,5.880313944544538,5.880313944544538
3,5.468714883883393,5.468714883883393,5.468714883883393,5.468714883883393,5.468714883883393,5.468714883883393,5.468714883883393,5.468714883883393,5.468714883883393,5.468714883883393
4,5.468714883883393,5.468714883883393,5.468714883883393,5.468714883883393,5.468714883883393,5.468714883883393,5.468714883883393,5.468714883883393,5.468714883883393,5.468714883883393
5,4.266146525812147,4.266146525812147,4.266146525812147,4.266146525812147,4.266146525812147,4.266146525812147,4.266146525812147,4.266146525812147,4.266146525812147,4.266146525812147
6,4.266146525812147,4.266146525812147,4.266146525812147,4.266146525812147,4.266146525812147,4.266146525812147,4.266146525812147,4.266146525812147,4.266146525812147,4.266146525812147
7,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616
8,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616
9,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616
10,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616,1.648948613855616
11,0.4699715067985686,0.4699715067985686,0.4699715067985686,0.4699715067985686,0.4699715067985686,0.4699715067985686,0.4699715067985686,0.4699715067985686,0.4699715067985686,0.4699715067985686
12,0.4699715067985686,0.4699715067985686,0.4699715067985686,0.4699715067985686,0.4699715067985686,0.4699715067985686,0.4699715067985686,0.4699715067985686,0.4699715067985686,0.4699715067985686
13,0.4699715067985686,0.4699715067985686,0.4699715067985686,0.4699715067985686,0.4699715067985686,0.4699715067985686,0.4699715067985686,0.4699715067985686,0.4699715067985686,0.4699715067985686
14,0.42736891944010225,0.42736891944010225,0.42736891944010225,0.42736891944010225,0.42736891944010225,0.42736891944010225,0.42736891944010225,0.42736891944010225,0.42736891944010225,0.42736891944010225
15,0.1552659984336877,0.1552659984336877,0.1552659984336877,0.1552659984336877,0.1552659984336877,0.1552659984336877,0.1552659984336877,0.1552659984336877,0.1552659984336877,0.1552659984336877
16,0.10540195200456282,0.10540195200456282,0.10540195200456282,0.10540195200456282,0.10540195200456282,0.10540195200456282,0.10540195200456282,0.10540195200456282,0.10540195200456282,0.10540195200456282
17,0.10540195200456282,0.10540195200456282,0.10540195200456282,0.10540195200456282,0.10540195200456282,0.10540195200456282,0.10540195200456282,0.10540195200456282,0.10540195200456282,0.10540195200456282
18,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517
19,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517
20,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517
21,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517,0.04324111914430517
22,0.005674015453514869,0.005674015453514869,0.005674015453514869,0.005674015453514869,0.005674015453514869,0.005674015453514869,0.005674015453514869,0.005674015453514869,0.005674015453514869,0.005674015453514869
23,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041
24,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041
25,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041
26,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041,0.005463702290136041
27,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202
28,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202
29,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202
30,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202
31,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202
32,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202
33,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202
34,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202,0.0009278599063016202
